aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.2-1
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
android-file-transfer 4.2-3
aom 3.8.1-1
archlinux-keyring 20240208-1
argon2 20190702-5
aria2 1.37.0-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audiofile 0.3.6-8
audit 4.0-1
autoconf 2.72-1
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
awesome-terminal-fonts 1.1.0-4
babl 0.1.108-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bc 1.07.1-4
betterlockscreen-git v4.2.0.r0.g548f8f9-1
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blueman 2.3.5-3
bluez 5.72-2
bluez-libs 5.72-2
bluez-utils 5.72-2
boost-libs 1.83.0-5
bridge-utils 1.7.1-1
brotli 1.1.0-1
btrfs-progs 6.7-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.26.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.97-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
catppuccin-gtk-theme-mocha 0.7.1-1
chromaprint 1.5.1-7
cmake 3.28.3-1
confuse 3.3-3
containerd 1.7.13-1
coreutils 9.4-3
cppdap 1.58.0-1
cpupower 6.7-1
cryptsetup 2.7.0-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.6.0-3
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
dex 0.9.0-1
diffutils 3.10-1
dkms 3.0.12-1
dnssec-anchors 20190629-3
docker 1:25.0.2-1
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
efibootmgr 18-2
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
enchant 2.6.5-1
ethtool 1:6.5-1
exiv2 0.28.1-1
expat 2.6.0-1
faad2 2.11.1-1
fakeroot 1.33-2
feh 3.10.2-1
ffmpeg 2:6.1.1-5
fftw 3.3.10-5
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 122.0.1-1
firewalld 2.1.1-1
flac 1.4.3-1
flameshot 12.1.0-3
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.0-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.48-1
gettext 0.22.4-1
ghc-libs 9.0.2-3
giflib 5.2.1-2
gimp 2.10.36-4
git 2.43.1-1
github-cli 2.43.1-1
glib-networking 1:2.78.0-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.4-1
gnutls 3.8.3-1
go 2:1.22.0-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.3-1
gst-plugins-bad-libs 1.22.9-2
gst-plugins-base-libs 1.22.9-2
gstreamer 1.22.9-2
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.8-1
gufw 24.04-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gvfs-mtp 1.52.2-2
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
haskell-aeson 2.1.2.1-37
haskell-aeson-pretty 0.8.9-167
haskell-ansi-terminal 0.11.4-58
haskell-ansi-wl-pprint 0.6.9-410
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-226
haskell-asn1-parse 0.9.5-226
haskell-asn1-types 0.3.4-205
haskell-assoc 1.0.2-246
haskell-async 2.2.5-15
haskell-attoparsec 0.14.4-70
haskell-attoparsec-iso8601 1.1.0.0-46
haskell-auto-update 0.1.6-332
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-75
haskell-base-orphans 0.8.8.2-6
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-76
haskell-base64 0.4.2.4-65
haskell-base64-bytestring 1.2.1.0-100
haskell-basement 0.0.16-1
haskell-bifunctors 5.6-57
haskell-bitvec 1.1.3.0-84
haskell-blaze-builder 0.4.2.3-1
haskell-blaze-html 0.9.1.2-222
haskell-blaze-markup 0.8.3.0-6
haskell-boring 0.2.1-2
haskell-bsb-http-chunked 0.0.0.4-376
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-176
haskell-case-insensitive 1.2.1.0-199
haskell-cassava 0.5.3.0-89
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-87
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-202
haskell-commonmark 0.2.3-20
haskell-commonmark-extensions 0.2.3.5-22
haskell-commonmark-pandoc 0.2.1.3-66
haskell-comonad 5.0.8-241
haskell-conduit 1.3.5-40
haskell-conduit-extra 1.3.6-121
haskell-constraints 0.13.4-45
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-crypton 0.34-7
haskell-crypton-connection 0.3.2-3
haskell-crypton-x509 1.7.6-24
haskell-crypton-x509-store 1.6.9-24
haskell-crypton-x509-system 1.6.7-24
haskell-crypton-x509-validation 1.6.12-24
haskell-data-array-byte 0.1.0.1-47
haskell-data-default 0.7.1.1-300
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-313
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-98
haskell-dec 0.0.5-4
haskell-digest 0.0.1.7-1
haskell-digits 0.3.1-17
haskell-distributive 0.6.2.1-205
haskell-dlist 1.0-235
haskell-doclayout 0.4.0.1-25
haskell-doctemplates 0.11-61
haskell-easy-file 0.2.5-17
haskell-emojis 0.1.3-6
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-63
haskell-file-embed 0.0.15.0-1
haskell-foldable1-classes-compat 0.1-57
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-86
haskell-gridtables 0.1.0.0-44
haskell-haddock-library 1.11.0-5
haskell-hashable 1.4.3.0-36
haskell-hourglass 0.2.12-242
